6731183,Accessory Main Drive
6738408,Gear Center-Accessory Drive
6738444,Accessory Idler Gear
6782790,Side Accessory Drive
6787344,Acc Dr Side Shaftgear
6792040,Prop Brake Inner Cone
6793065,"Cap, Oil Filter"
6793309,Accessory Main Drive Gear Shaft
6808390,Tube
6824043,Tachometer And Oil Pump Drive Spur Gear
6824044,Pump Drive Idler Spur
6824774,Eyebolt
6824977,Idler Gear
6827887,Starter Shaft
6829388,Nose Scavenge Pump
6829394,Starter Gear
6829451,Prop Brake Outer  
6840109,Retainer
6840407,Spanner Nut
6840535,"Bearing, Roller, (30 X 62 X 16 Mm)"
6841213,3Rd Stage Compressor Wheel
6841228,Pinion Shaft Gear
6842657,Prop Shaft
6843499,Firewall
6844778,Turbine Tie Bolt
6845884,Gp Support
6845945,Compressor Tie Bolt
6846215,Accessory Drive
6846935,Turbine Front Brg Cage
6850825,Oil Pump Dr Spur Gear
6851430,Rear Difffuser
6851531,#4 Nozzle
6851574,Scroll
6852738,"Diffuser Assy, Compressor Front"
6853265,Gearshaft Pt Tach & Gov
6853279,#4 Wheel
6853301,Sump Can
6853366,Bracket
6853441,Pressure Body
6853444,Oil Pump Cover
6853446,Gearshaft
6853511,Ex Collector
6853540,Pump Assy
6853542,Scavenge Oil Pump Body
6853543,Body Seperator
6853544,Oil Pump Cover
6854056,Bracket
6854393,Lab Stator Seal
6854851,"Gearshaft Assy, Spur, Fuel Pump Drive"
6854857,"Gearshaft, Spur, Gas Producer Train Idler"
6854977,Gear
6856362,"Piston Assy, Torquemeter"
6857394,Pt Support
6858182,Rear Carrier
6859367,Tm Shaft
6859431,"Bearing, Ball, 12 X 28 X 8 Mm"
6859542,Pump Body Scav
6870031,Iinner Bearing Race
6870032,Filter Assy
6870058,Exciter
6870769,Fuel Control
6870811,Front Diffuser
6870813,Diffuser 
6870832,Pinion Gear
6870855,Lead Igh. Assy
6870891,"Exciter Assy, Ignition, High Energy"
6870925,Seperator
6870941,T/M Helical G/S
6871218,Tm Gearshaft
6871259,Compressor Tie Bolt
6871486,Combustion Liner
6871499,Compressor Rotor Assy
6871502,Bearing
6871508,Bearing
6871534,Plug
6871540,Clamp
6873667,Main Diaphragm
6874816,Bleed Valve Stem
6874884,Rear Diffuser
6875004,Bearing
6875485,N1 Coupling
6875622,Tube
6875778,Pt Support
6876528,Starter Generator
6876529,Fuel Gearshaft
6876617,Check Valve
6876654,#4 Comp Wheel
6876655,#5 Wheel Compressor
6876656,#6 Comp Wheel
6876667,Air Tube
6876688,Oil Pump Body
6876814,"Thermocouple Assy, Turbine "
6876878,"Nut, Spanner, Special Lock, Lh"
6876925,Tube Assy Oil Filter
6877143,#3 Nozzle
6877171,Gear Box Housing
6877513,Prop Shaft
6878767,Lpt Bearing Sleeve Seal
6879867,# 3 Turbine Nozzle
6879879,Ex Collector
6886407,1St Turbine Wheel
6887160,Tube
6887761,Thermocouple
6887772,"Bearing, Roller, (40 X 68 X 15 Mm)"
6888527,Gearshaft
6888529,Starter Gen Gear
6888547,"Sump Cover, Pt"
6888602,"Slinger, Oil, Gas Producer Turbine Bearing Front"
6889069,Shaft Pinion
6889094,"Gearshaft, Spur, Gas Producer Train Idler"
6889158,Tm Shaft
6889167,Oil Pump Cover
6889168,Oil Pump Cover
6889358,Main Drive Gear
6889700,Helical Gear
6889701,Tm Helical Gear
6890040,#1 Nozzle Shield
6890501,#1 Comp Wheel
6890502,#2/3 Comp Wheel
6890530,Front Support
6890584,Tube
6890804,Sump Cover
6890917,Fuel Nozzle Assy
6892070,"Housing Assy, Filter, Lube Oil"
6892071,Oil Pump Body
6892285,Starter Gen
6892826,Drain Fitting
6893037,Filter
6893614,"Nut, Spanner, 1.1875-28 Lh"
6893617,Bearing Housing
6893626,Tube
6893656,Oil Pump Body
6893662,Spur Gearshaft
6893673,T/M Gear
6895005,Plate
6895007,Bearing
6895010,Gp Support
6895079,Gearbox Cover
6895093,Oil Filter Housing
6895800,Air Tube
6895832,Tube
6896094,Gear Box Housing
6896407,Front Support
6896437,Fuel Gear
6896888,Scroll
6896892,Gearbox Cover
6898560,Tube
6898561,Adapter Coupling
6898607,"Bearing, Ball, (10 X 26 X 8 Mm) No. 1 Main"
6898663,"Wheel, Turbine, 3Rd Stage"
6898675,Lab Seal
6898730,Pt Support
6898731,Pt Support
6898764,Oil Seal Assy
6898782,Second Turbine Wheel
6898784,Splined Adapter
6898785,Pto Gearshaft
6898824,Manifold
6898826,T/M Gear
6898835,"Gearshaft, Helical & Spur"
6898847,Tube
6898945,Gp Support Bearing Oil
6898958,Oil Nozzle
6898967,#3 Turbine Wheel
6898976,Pressure Tee Assy(4)
6898981,Idler Gear
6898989,"Body Assy, Oil Pressure Reducer"
6899130,Comp Bleed Valve Cover
6899156,Fuel Control Gearshaft
6899185,Tube 
6899191,Tube
6899226,Oil Housing Assy
6899373,3Rd Stg Wheel
6899402,Pto Gearshaft
